樹木番号,樹型級,直径1,直径2,樹高,コメント
301 ,1,19.2 ,19.4 ,16.4 ,
302 ,2d,18.4 ,19.2 ,17.0 ,曲がり
303 ,1,23.0 ,22.2 ,16.9 ,
304 ,1,27.1 ,27.1 ,16.5 ,
306 ,4,17.4 ,16.4 ,13.8 ,曲がり　先折
307 ,2d,23.7 ,23.7 ,14.0 ,曲がり　先折
308 ,1,26.2 ,26.0 ,16.9 ,
309 ,1,21.7 ,22.1 ,16.0 ,
310 ,1,22.5 ,23.8 ,16.3 ,
311 ,1,23.6 ,23.8 ,16.2 ,
312 ,5,12.1 ,12.9 ,12.3 ,枯れ
314 ,5,17.6 ,17.0 ,,枯れ　倒伏
315 ,1,19.1 ,19.9 ,16.0 ,
316 ,1,29.5 ,30.2 ,17.4 ,
317 ,1,25.7 ,25.4 ,17.7 ,
318 ,2d,19.9 ,19.1 ,17.0 ,曲がり
321 ,3,16.9 ,18.3 ,15.2 ,曲がり
322 ,1,25.0 ,26.7 ,16.9 ,
323 ,1,29.3 ,28.7 ,17.6 ,
324 ,1,18.3 ,18.1 ,17.0 ,
328 ,5,23.8 ,26.0 ,16.0 ,土壌流失　斜立　枯れ
330 ,2e,23.4 ,23.7 ,15.1 ,土壌流失　斜立
331 ,1,28.5 ,30.5 ,16.8 ,
332 ,1,24.2 ,25.2 ,17.4 ,
334 ,4,20.1 ,20.6 ,15.9 ,曲がり　先折れ
335 ,4,14.7 ,14.2 ,14.8 ,先折れ
336 ,1,24.7 ,26.1 ,18.0 ,
337 ,2c,24.8 ,25.3 ,16.6 ,
338 ,1,17.4 ,18.2 ,16.0 ,
339 ,1,18.1 ,18.9 ,17.1 ,
341 ,1,30.0 ,30.6 ,19.3 ,計測位置にコブ　コブの上(29.5-29.1)
342 ,2b,14.7 ,14.9 ,17.8 ,
343 ,1,24.1 ,27.0 ,17.9 ,
344 ,4,16.1 ,16.0 ,15.8 ,
345 ,1,26.9 ,26.9 ,18.0 ,
346 ,1,19.9 ,19.5 ,16.5 ,
347 ,4,16.7 ,16.5 ,14.4 ,先折れ
348 ,1,28.4 ,29.3 ,17.1 ,
349 ,1,21.2 ,22.6 ,17.0 ,
350 ,2d,20.0 ,20.9 ,15.4 ,曲がり
351 ,2e,23.7 ,24.9 ,13.8 ,土壌流失 斜立　曲がり
352 ,2d,24.3 ,26.8 ,16.4 ,曲がり
354 ,5,19.8 ,20.7 ,11.3 ,土壌流失　斜立　二又　枯れ
357 ,2e,27.4 ,30.8 ,19.0 ,斜立
358 ,1,28.9 ,30.2 ,18.3 ,359とペンキ逆？　位置は358
359 ,2e,22.6 ,24.4 ,17.0 ,先折れ
360 ,2b,16.5 ,16.7 ,15.8 ,
361 ,2e,20.4 ,22.2 ,16.2 ,先折れ
362 ,2b,16.3 ,16.5 ,15.2 ,土壌流失
363 ,1,21.5 ,21.3 ,17.3 ,
364 ,1,22.9 ,23.4 ,17.4 ,土壌流失
365 ,1,20.3 ,21.6 ,17.9 ,
366 ,2d,23.7 ,24.8 ,17.5 ,曲がり
367 ,1,30.8 ,31.5 ,18.4 ,
368 ,1,21.8 ,22.5 ,15.5 ,
369 ,1,19.6 ,21.4 ,15.3 ,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
