樹木番号,樹型級,直径1,直径2,樹高,コメント
144 ,2b,16.0 ,15.5 ,18.8 ,
145 ,4,16.3 ,16.6 ,18.0 ,枯れかけ
148 ,2b,23.0 ,22.9 ,17.6 ,
149 ,2b,18.5 ,21.1 ,18.0 ,
150 ,1,24.0 ,25.6 ,20.4 ,
151 ,1,31.0 ,32.4 ,20.2 ,
152 ,1,23.0 ,23.5 ,19.4 ,
155 ,2a,21.8 ,23.1 ,19.9 ,
156 ,1,20.6 ,22.0 ,19.2 ,
157 ,1,23.7 ,23.8 ,19.3 ,
158 ,1,22.5 ,22.3 ,19.3 ,
159 ,2b,14.5 ,13.8 ,17.0 ,
160 ,2b,16.7 ,17.3 ,18.0 ,
161 ,5,13.4 ,13.2 ,,枯
163 ,1,25.0 ,25.7 ,19.3 ,
165 ,1,25.0 ,23.0 ,19.4 ,
167 ,1,24.6 ,24.0 ,18.3 ,
168 ,1,30.6 ,30.7 ,19.2 ,
169 ,2b,15.8 ,16.1 ,17.2 ,
172 ,2b,15.3 ,15.9 ,15.2 ,
173 ,1,24.6 ,25.3 ,18.5 ,
174 ,2b,14.5 ,15.1 ,16.6 ,
175 ,1,28.5 ,28.0 ,19.7 ,
176 ,1,19.5 ,21.7 ,18.4 ,
178 ,1,24.0 ,24.1 ,17.9 ,
179 ,2b,16.0 ,16.1 ,17.2 ,
180 ,2b,18.0 ,17.3 ,16.7 ,
181 ,1,21.2 ,21.2 ,16.1 ,
182 ,2b,15.4 ,15.5 ,15.8 ,
183 ,2b,14.5 ,15.0 ,16.1 ,
184 ,1,21.5 ,23.4 ,16.2 ,
186 ,2a,22.6 ,24.0 ,17.3 ,
187 ,5,13.0 ,12.9 ,,枯
188 ,1,28.0 ,30.0 ,17.9 ,
191 ,4,22.0 ,21.1 ,14.7 ,
193 ,1,22.1 ,23.5 ,15.5 ,
194 ,1,21.0 ,21.1 ,14.9 ,
195 ,1,22.5 ,24.1 ,17.1 ,
196 ,1,26.9 ,26.8 ,18.1 ,
197 ,1,21.2 ,20.9 ,16.9 ,
198 ,1,20.0 ,20.8 ,17.1 ,
199 ,1,25.3 ,26.5 ,14.9 ,
201 ,1,19.6 ,19.9 ,14.8 ,
204 ,2a,20.3 ,22.9 ,16.5 ,
205 ,1,21.8 ,22.5 ,16.2 ,
208 ,2a,20.0 ,20.8 ,16.8 ,
209 ,1,26.7 ,25.7 ,17.6 ,
211 ,1,25.4 ,26.4 ,17.2 ,
213 ,2a,30.5 ,29.7 ,18.4 ,
215 ,1,18.7 ,19.9 ,17.4 ,
216 ,1,19.1 ,18.5 ,19.1 ,
217 ,1,24.2 ,24.3 ,18.5 ,
219 ,1,37.6 ,35.9 ,20.4 ,
220 ,2e,20.9 ,21.1 ,16.4 ,
222 ,1,25.9 ,25.0 ,17.6 ,
223 ,2b,18.7 ,20.7 ,16.5 ,
224 ,5,12.4 ,12.3 ,,枯
225 ,1,30.2 ,32.0 ,18.6 ,
227 ,1,21.0 ,20.4 ,18.8 ,
228 ,1,33.2 ,34.9 ,20.2 ,
229 ,2b,20.3 ,19.7 ,16.4 ,
230 ,1,24.5 ,25.1 ,17.5 ,
231 ,5,16.2 ,16.0 ,,枯
232 ,2d,24.3 ,24.9 ,18.3 ,
233 ,1,25.4 ,26.4 ,19.4 ,
235 ,5,13.1 ,13.7 ,,枯
239 ,1,26.9 ,27.2 ,19.0 ,
240 ,1,19.1 ,17.9 ,18.2 ,
241 ,1,25.6 ,25.8 ,18.9 ,
243 ,1,28.3 ,28.9 ,19.5 ,
244 ,2a,22.0 ,22.0 ,19.1 ,
245 ,2b,15.7 ,16.5 ,18.5 ,
246 ,1,20.6 ,21.2 ,18.6 ,
248 ,1,21.4 ,19.9 ,19.9 ,
249 ,1,24.0 ,22.8 ,20.5 ,
253 ,4,15.0 ,15.9 ,15.6 ,枯れかけ
254 ,1,31.2 ,30.3 ,19.7 ,
255 ,1,25.0 ,25.1 ,19.6 ,
256 ,1,18.3 ,19.1 ,18.3 ,
257 ,1,27.0 ,27.5 ,19.1 ,
258 ,2b,17.0 ,16.6 ,18.6 ,
260 ,1,25.2 ,25.8 ,18.8 ,
262 ,1,28.2 ,28.5 ,18.6 ,
264 ,1,25.8 ,25.8 ,19.3 ,
266 ,1,28.6 ,28.2 ,19.7 ,
267 ,1,17.4 ,18.0 ,18.3 ,
268 ,1,18.6 ,18.8 ,18.7 ,
269 ,1,26.4 ,25.5 ,19.2 ,
272 ,5,11.1 ,11.7 ,,枯
273 ,1,28.2 ,27.8 ,18.6 ,
274 ,1,23.3 ,23.1 ,18.1 ,
275 ,2b,17.8 ,18.3 ,17.0 ,
276 ,1,25.4 ,26.9 ,19.9 ,
280 ,1,21.6 ,24.1 ,19.0 ,
281 ,1,27.3 ,25.9 ,20.4 ,
282 ,2b,16.8 ,15.8 ,16.9 ,
284 ,1,24.7 ,23.4 ,18.5 ,
286 ,2b,13.9 ,13.9 ,17.2 ,
287 ,2b,15.7 ,15.7 ,17.1 ,
288 ,1,27.9 ,27.5 ,19.0 ,
289 ,1,23.0 ,23.1 ,18.5 ,
291 ,2b,18.6 ,18.2 ,17.0 ,
292 ,1,22.1 ,22.6 ,17.4 ,
294 ,2b,14.4 ,13.8 ,16.0 ,
296 ,1,24.5 ,24.1 ,16.3 ,
297 ,1,26.3 ,24.7 ,17.9 ,
300 ,2d,14.9 ,13.8 ,16.3 ,
301 ,2b,21.0 ,19.7 ,16.7 ,
302 ,1,27.9 ,27.5 ,17.7 ,
303 ,2b,19.9 ,20.3 ,16.0 ,
304 ,2a,22.1 ,22.1 ,16.5 ,
307 ,2b,16.8 ,16.7 ,15.0 ,
308 ,1,21.3 ,21.0 ,16.5 ,
309 ,2b,14.9 ,14.4 ,16.8 ,
310 ,2d,23.6 ,22.2 ,17.5 ,
312 ,1,30.8 ,30.8 ,18.1 ,
313 ,2b,12.2 ,12.7 ,15.0 ,
316 ,1,17.5 ,18.2 ,16.7 ,
318 ,1,23.2 ,22.2 ,18.1 ,
319 ,1,24.9 ,26.3 ,17.1 ,
320 ,1,22.7 ,22.1 ,18.1 ,
323 ,1,20.7 ,19.4 ,18.4 ,
324 ,1,23.4 ,23.2 ,18.6 ,
325 ,1,21.0 ,19.4 ,18.6 ,
327 ,1,22.8 ,22.2 ,18.7 ,
330 ,1,25.4 ,24.8 ,19.3 ,
332 ,1,26.3 ,25.3 ,20.0 ,
333 ,2b,13.4 ,13.4 ,17.0 ,
335 ,1,22.1 ,22.3 ,18.0 ,
336 ,1,24.1 ,22.6 ,18.8 ,
338 ,2b,17.1 ,16.7 ,16.5 ,
339 ,1,20.8 ,20.5 ,18.1 ,
341 ,1,24.0 ,25.9 ,17.8 ,
343 ,2b,17.8 ,19.2 ,16.0 ,
344 ,1,18.5 ,18.3 ,17.3 ,
346 ,1,22.0 ,21.3 ,19.1 ,
347 ,2b,13.5 ,13.3 ,16.8 ,曲がり
349 ,2b,15.2 ,16.8 ,17.2 ,2016年直径(2)は16.4の間違い？
350 ,1,31.1 ,31.6 ,19.7 ,
351 ,1,19.6 ,21.2 ,18.8 ,曲がり
353 ,4,13.3 ,13.7 ,14.4 ,枯れかけ
354 ,1,25.1 ,26.1 ,18.4 ,
355 ,2d,13.2 ,12.7 ,17.3 ,曲がり
356 ,1,29.7 ,32.6 ,19.2 ,
357 ,1,20.7 ,21.7 ,17.4 ,
359 ,2b,11.9 ,11.7 ,15.7 ,枯れかけ
360 ,1,24.1 ,25.3 ,19.6 ,
361 ,2b,17.6 ,18.9 ,17.5 ,
362 ,1,17.6 ,18.7 ,19.0 ,
365 ,2a,28.4 ,30.2 ,20.1 ,
367 ,1,18.1 ,18.4 ,19.8 ,
368 ,1,33.9 ,31.1 ,22.5 ,
370 ,2b,15.1 ,15.3 ,18.0 ,
371 ,1,29.3 ,29.5 ,20.3 ,
373 ,2b,14.3 ,14.1 ,17.4 ,
375 ,2b,18.1 ,17.7 ,17.2 ,
377 ,1,26.8 ,26.9 ,18.5 ,
379 ,1,31.6 ,31.2 ,20.2 ,
380 ,2d,15.8 ,15.8 ,17.6 ,曲がり
381 ,1,17.9 ,18.8 ,18.2 ,
382 ,2d,18.9 ,19.6 ,17.8 ,
383 ,2a,26.0 ,25.3 ,18.6 ,
384 ,5,13.8 ,13.8 ,,枯
385 ,1,21.1 ,19.2 ,18.8 ,
387 ,1,23.6 ,22.1 ,18.9 ,
388 ,2a,21.3 ,23.7 ,18.9 ,
389 ,1,21.1 ,21.0 ,18.7 ,
391 ,1,23.6 ,23.3 ,18.9 ,
392 ,2b,15.0 ,15.0 ,15.6 ,
393 ,1,21.1 ,20.3 ,18.8 ,
394 ,1,21.3 ,20.9 ,17.8 ,
395 ,1,36.9 ,35.0 ,20.5 ,
397 ,2b,12.4 ,13.0 ,17.0 ,枯れかけ
399 ,1,27.9 ,27.7 ,19.3 ,
400 ,1,22.5 ,24.3 ,18.0 ,
401 ,1,26.8 ,24.6 ,19.3 ,
403 ,1,32.7 ,31.2 ,19.9 ,
407 ,1,23.1 ,20.7 ,18.4 ,
408 ,1,24.5 ,24.6 ,18.3 ,
409 ,1,24.2 ,26.6 ,18.9 ,
410 ,1,24.3 ,25.2 ,18.0 ,
415 ,1,33.7 ,33.7 ,20.7 ,
417 ,2a,26.2 ,27.8 ,18.6 ,
419 ,1,23.8 ,23.5 ,19.6 ,
420 ,2b,16.9 ,15.3 ,18.5 ,
421 ,1,31.3 ,31.7 ,19.5 ,
422 ,1,23.4 ,23.9 ,20.0 ,
424 ,1,29.8 ,33.1 ,19.4 ,
427 ,1,28.0 ,29.4 ,20.8 ,
429 ,2b,19.2 ,21.1 ,18.5 ,
432 ,1,30.3 ,30.7 ,18.4 ,
434 ,1,23.0 ,23.4 ,18.6 ,
437 ,1,25.7 ,27.0 ,19.0 ,
438 ,1,25.9 ,27.7 ,18.7 ,
442 ,2a,33.6 ,36.6 ,20.3 ,
444 ,5,18.4 ,19.6 ,14.5 ,枯
446 ,2d,19.2 ,21.2 ,17.4 ,
447 ,1,30.7 ,35.1 ,19.0 ,
448 ,2e,20.2 ,22.2 ,17.4 ,先折れ
451 ,1,24.7 ,25.8 ,18.4 ,
452 ,1,30.6 ,30.4 ,21.7 ,2本ありスギ D30.9、29.3　H21.9
453 ,1,27.8 ,28.7 ,20.1 ,
456 ,1,32.8 ,32.3 ,20.0 ,
457 ,1,25.7 ,26.0 ,18.7 ,
458 ,2b,16.2 ,17.0 ,17.3 ,
459 ,1,21.8 ,23.2 ,19.6 ,
460 ,1,24.7 ,24.3 ,19.5 ,
462 ,1,27.4 ,27.2 ,19.5 ,
464 ,5,,,,枯、折れ
465 ,1,24.3 ,24.1 ,18.6 ,
467 ,1,31.3 ,30.4 ,19.6 ,
470 ,1,27.4 ,27.3 ,18.3 ,
471 ,1,21.3 ,20.2 ,17.2 ,
472 ,1,22.1 ,22.6 ,17.3 ,
473 ,1,25.9 ,28.3 ,18.5 ,
475 ,1,21.1 ,21.4 ,17.5 ,
476 ,2b,16.0 ,15.9 ,17.1 ,
477 ,2b,15.8 ,16.7 ,16.1 ,
479 ,1,23.9 ,24.3 ,18.9 ,
480 ,5,16.3 ,16.7 ,,枯
482 ,1,25.8 ,25.1 ,18.4 ,
484 ,1,20.4 ,20.2 ,19.5 ,
485 ,1,30.8 ,30.0 ,20.4 ,
488 ,1,39.1 ,38.1 ,21.9 ,
489 ,1,24.6 ,27.6 ,20.0 ,
491 ,1,23.4 ,24.4 ,18.3 ,
492 ,1,23.9 ,25.0 ,19.1 ,
494 ,2b,14.7 ,14.1 ,16.2 ,
496 ,1,34.1 ,34.8 ,21.2 ,
497 ,1,22.0 ,23.6 ,19.0 ,
498 ,2e,23.5 ,26.1 ,16.8 ,先折れ
501 ,1,30.5 ,30.6 ,19.6 ,
503 ,1,28.2 ,28.3 ,18.4 ,
505 ,1,30.2 ,31.5 ,19.3 ,
508 ,1,35.3 ,38.0 ,19.1 ,
509 ,2b,18.3 ,17.7 ,15.4 ,
511 ,1,30.4 ,29.3 ,18.9 ,
512 ,2b,16.3 ,16.0 ,16.8 ,
514 ,2b,18.0 ,19.6 ,16.7 ,倒木が倒れこんでる　曲がり
515 ,2b,16.7 ,18.3 ,17.3 ,
517 ,5,13.0 ,13.1 ,16.0 ,倒れ、枯
518 ,5,23.2 ,23.7 ,,倒れ、枯
519 ,1,20.7 ,20.1 ,18.9 ,
520 ,1,24.9 ,25.4 ,19.6 ,
521 ,5,,,,枯れ、根返り
523 ,2b,17.6 ,18.3 ,16.6 ,
524 ,1,24.4 ,26.1 ,19.8 ,
528 ,1,27.0 ,27.9 ,19.4 ,
529 ,1,22.6 ,24.1 ,18.9 ,
531 ,2b,17.8 ,18.9 ,17.0 ,
532 ,1,23.1 ,24.3 ,18.4 ,
534 ,2b,18.2 ,18.7 ,18.2 ,
535 ,2e,25.3 ,27.3 ,,根がえりしかけ
536 ,2e,19.8 ,21.6 ,,根がえりしかけ
537 ,1,23.9 ,23.9 ,20.3 ,
539 ,5,13.0 ,12.8 ,15.1 ,枯、倒れかけ
543 ,2d,22.1 ,24.3 ,17.1 ,二又
544 ,1,27.0 ,29.2 ,18.2 ,
546 ,5,12.4 ,13.9 ,,枯
548 ,1,20.7 ,24.8 ,18.6 ,
550 ,2b,15.6 ,16.7 ,16.0 ,枯れかけ
551 ,1,24.0 ,23.5 ,19.4 ,
552 ,1,23.9 ,27.9 ,18.8 ,
554 ,2b,15.2 ,16.0 ,17.9 ,
556 ,1,27.2 ,28.9 ,19.6 ,
557 ,1,23.8 ,27.0 ,20.6 ,
558 ,1,25.7 ,25.1 ,20.5 ,
560 ,1,20.1 ,21.7 ,19.4 ,
561 ,1,25.3 ,26.7 ,19.7 ,
563 ,1,20.2 ,22.9 ,19.4 ,
564 ,1,23.9 ,26.1 ,19.8 ,
565 ,5,16.7 ,16.8 ,,枯
567 ,2b,19.9 ,20.4 ,19.0 ,
569 ,1,27.4 ,27.8 ,21.3 ,
570 ,5,13.3 ,13.1 ,,枯
571 ,1,23.0 ,22.2 ,18.6 ,
572 ,1,28.2 ,27.9 ,19.2 ,
573 ,1,20.8 ,21.7 ,18.7 ,
576 ,1,18.8 ,19.3 ,17.1 ,
578 ,1,22.9 ,24.2 ,18.7 ,
580 ,1,21.2 ,23.2 ,18.9 ,
581 ,1,22.8 ,23.1 ,19.0 ,
583 ,1,30.4 ,34.3 ,19.3 ,
584 ,1,24.9 ,27.7 ,19.2 ,
585 ,2d,17.6 ,18.3 ,16.3 ,二又　先折
586 ,1,23.5 ,25.0 ,18.9 ,
587 ,2b,16.3 ,16.1 ,17.0 ,
588 ,1,23.1 ,24.4 ,18.7 ,
589 ,1,20.7 ,21.5 ,18.0 ,
591 ,1,23.4 ,26.5 ,19.8 ,
593 ,1,21.8 ,23.2 ,17.8 ,
594 ,1,33.7 ,32.6 ,20.1 ,
595 ,2b,17.4 ,18.1 ,17.3 ,
596 ,1,27.6 ,28.6 ,19.9 ,
597 ,5,11.3 ,11.4 ,,枯
598 ,1,21.1 ,23.1 ,17.0 ,
599 ,2d,17.0 ,19.9 ,17.5 ,二又
600 ,2b,19.4 ,20.2 ,17.4 ,
602 ,2b,20.4 ,20.1 ,16.0 ,斜立
603 ,2b,18.6 ,20.0 ,15.9 ,
605 ,5,11.0 ,11.1 ,,枯
607 ,5,15.4 ,15.1 ,,枯　根がえりしかけ　風倒
608 ,5,8.0 ,8.0 ,,枯　倒れ　風倒
609 ,5,20.6 ,20.0 ,,枯　根がえりしかけ　風倒
610 ,5,16.7 ,16.5 ,,枯　根がえりしかけ
613 ,1,24.4 ,25.8 ,18.4 ,
614 ,5,12.7 ,13.9 ,,枯　613に倒れ
618 ,1,33.5 ,36.5 ,19.2 ,
619 ,5,14.7 ,14.8 ,,枯
620 ,2b,13.5 ,13.3 ,16.3 ,
621 ,5,14.3 ,14.0 ,,枯
623 ,1,21.8 ,22.1 ,19.4 ,
624 ,1,17.6 ,17.7 ,17.9 ,
627 ,1,28.3 ,29.0 ,19.1 ,
628 ,1,27.1 ,26.9 ,18.4 ,
629 ,1,23.3 ,23.9 ,19.0 ,
630 ,1,22.4 ,24.2 ,18.1 ,
632 ,2b,19.7 ,19.6 ,17.6 ,
633 ,2b,18.7 ,19.8 ,17.2 ,
635 ,1,26.3 ,27.2 ,18.2 ,
636 ,2b,17.0 ,17.6 ,17.3 ,
637 ,1,24.3 ,25.6 ,18.4 ,
638 ,1,28.4 ,28.3 ,18.9 ,
639 ,1,23.1 ,23.6 ,18.7 ,
642 ,2b,13.9 ,14.2 ,16.0 ,
643 ,4,13.5 ,13.9 ,14.9 ,枯れかけ
644 ,1,22.4 ,21.5 ,18.5 ,
650 ,5,17.3 ,17.3 ,,枯、根返り←風倒
653 ,1,25.4 ,27.3 ,17.6 ,
654 ,2b,17.9 ,18.4 ,15.7 ,
655 ,2b,18.8 ,19.1 ,15.9 ,
656 ,5,15.0 ,14.9 ,,枯
657 ,1,20.0 ,22.5 ,16.7 ,
660 ,1,32.1 ,32.9 ,17.9 ,
662 ,2b,17.4 ,18.8 ,15.0 ,
663 ,2b,16.6 ,17.8 ,17.6 ,
664 ,1,27.9 ,29.2 ,18.3 ,
666 ,1,26.5 ,27.1 ,18.3 ,
667 ,5,13.8 ,13.8 ,,枯
668 ,1,25.0 ,26.9 ,18.5 ,
669 ,2b,16.2 ,15.7 ,16.7 ,二又
670 ,1,22.8 ,23.3 ,17.7 ,
671 ,1,22.5 ,24.1 ,18.0 ,
672 ,2b,13.8 ,13.9 ,15.4 ,枯れかけ
674 ,1,26.0 ,27.5 ,18.0 ,
676 ,1,19.9 ,21.9 ,18.5 ,
678 ,1,22.2 ,25.1 ,18.9 ,
679 ,1,20.5 ,22.1 ,17.8 ,
680 ,1,23.9 ,26.1 ,18.8 ,
681 ,1,26.5 ,26.5 ,18.7 ,
682 ,2b,19.9 ,21.3 ,16.2 ,
683 ,2b,20.0 ,21.8 ,17.8 ,
684 ,1,17.9 ,18.7 ,19.3 ,
685 ,1,25.1 ,26.1 ,19.9 ,
687 ,1,20.0 ,21.7 ,17.5 ,
689 ,2b,16.5 ,17.3 ,16.4 ,
690 ,1,23.4 ,24.2 ,18.2 ,
691 ,1,32.8 ,33.1 ,20.3 ,
692 ,1,26.9 ,27.7 ,19.8 ,
693 ,1,28.8 ,29.8 ,19.1 ,
694 ,2e,22.3 ,24.1 ,16.8 ,
696 ,2b,18.8 ,18.3 ,19.0 ,
697 ,1,31.1 ,32.1 ,20.3 ,
698 ,2b,16.4 ,18.6 ,16.9 ,
699 ,1,24.1 ,24.9 ,19.2 ,
701 ,4,15.4 ,15.3 ,18.7 ,140番代の近く
